[thread_id: main] || 07 Feb 2025 10:11:03 || INFO  || org.use.local.dependency.Main || (Main.java:10) || Hello, World!
[thread_id: main] || 07 Feb 2025 10:11:03 || INFO  || org.use.local.dependency.Main || (Main.java:16) || Name: John, Age: 30
[thread_id: main] || 07 Feb 2025 10:16:02 || INFO  || org.use.local.dependency.core.Game || (Game.java:8) || Game start
[thread_id: main] || 07 Feb 2025 10:18:53 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 10:19:24 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 10:19:43 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 10:20:07 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 13:57:22 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 14:08:35 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 14:14:19 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 14:17:40 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 14:20:11 || INFO  || org.use.local.dependency.core.Game || (Game.java:14) || Game start
[thread_id: main] || 07 Feb 2025 14:21:15 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:23:42 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:23:55 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:24:45 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:25:37 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:26:28 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:26:49 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:30:39 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:31:20 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:31:36 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:32:03 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:32:17 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:32:24 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:32:28 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:33:00 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:33:13 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:33:57 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:34:06 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:34:19 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:36:20 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:37:11 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:37:22 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:37:42 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:38:00 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:38:10 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
[thread_id: main] || 07 Feb 2025 14:39:30 || INFO  || org.use.local.dependency.core.Game || (Game.java:15) || Game start
